"","country","year","cases"
"1223","zambia",2008,2061
"1224","zambia",2009,4712
"1225","zambia",2010,6794
"1226","zambia",2011,330
"1227","zambia",2012,198
"1228","zambia",2017,1794
"1229","zambia",2018,4082
"1230","zambia",2019,447
"1231","zambia",2020,0
"1232","zambia",2021,0
"1233","zambia",2022,34
"1234","zambia",2023,4531
"1235","zimbabwe",1973,1
"1236","zimbabwe",1974,37
"1237","zimbabwe",1975,615
"1238","zimbabwe",1976,144
"1239","zimbabwe",1985,144
"1240","zimbabwe",1986,2
"1241","zimbabwe",1992,2048
"1242","zimbabwe",1993,5385
"1243","zimbabwe",1998,995
"1244","zimbabwe",1999,5637
"1245","zimbabwe",2000,1675
"1246","zimbabwe",2001,650
"1247","zimbabwe",2002,3125
"1248","zimbabwe",2003,1009
"1249","zimbabwe",2004,119
"1250","zimbabwe",2005,516
"1251","zimbabwe",2006,789
"1252","zimbabwe",2007,65
"1253","zimbabwe",2008,60055
"1254","zimbabwe",2009,68153
"1255","zimbabwe",2010,951
"1256","zimbabwe",2011,1220
"1257","zimbabwe",2012,23
"1258","zimbabwe",2015,60
"1259","zimbabwe",2016,10
"1260","zimbabwe",2018,10692
"1261","zimbabwe",2019,61
"1262","zimbabwe",2020,0
"1263","zimbabwe",2021,0
"1264","zimbabwe",2022,4
"1265","zimbabwe",2023,14148
"1266","djibouti",1970,6
"1267","djibouti",1971,440
"1268","djibouti",1972,8
"1269","djibouti",1976,2
"1270","djibouti",1977,2
"1271","djibouti",1978,3
"1272","djibouti",1985,115
"1273","djibouti",1993,10055
"1274","djibouti",1994,1122
"1275","djibouti",1997,2424
"1276","djibouti",1998,164
"1277","djibouti",2000,1828
"1278","djibouti",2007,1087
"1279","djibouti",2010,2047
"1280","djibouti",2011,127
"1281","djibouti",2019,0
"1282","djibouti",2020,0
"1283","djibouti",2021,0
"1284","djibouti",2022,0
"1285","djibouti",2023,0
"1286","sudan",1979,845
"1287","sudan",1980,17
"1288","sudan",1985,4457
"1289","sudan",1999,0
"1290","sudan",2006,30662
"1291","sudan",2007,13731
"1292","sudan",2008,17241
"1293","sudan",2009,13681
"1294","sudan",2018,0
"1295","sudan",2019,346
"1296","sudan",2011,0
"1297","sudan",2013,0
"1298","sudan",2020,7
"1299","sudan",2021,9
"1300","sudan",2012,0
"1301","sudan",2014,0
"1302","sudan",2015,0
"1303","sudan",2023,8895
"1304","somalia",1970,43
"1305","somalia",1971,89
"1306","somalia",1985,10199
"1307","somalia",1986,15980
"1308","somalia",1994,28334
"1309","somalia",1995,9255
"1310","somalia",1996,10274
"1311","somalia",1997,6814
"1312","somalia",1998,4417
"1313","somalia",1999,17757
"1314","somalia",2000,7496
"1315","somalia",2001,2567
"1316","somalia",2002,2775
"1317","somalia",2003,11020
"1318","somalia",2004,4490
"1319","somalia",2007,41643
"1320","somalia",2008,1281
"1321","somalia",2009,208
"1322","somalia",2010,3510
"1323","somalia",2011,77636
"1324","somalia",2012,22576
"1325","somalia",2013,6864
"1326","somalia",2014,2820
"1327","somalia",2015,7536
"1328","somalia",2016,15619
"1329","somalia",2017,75414
"1330","somalia",2018,6761
"1331","somalia",2019,3100
"1332","somalia",2020,6414
"1333","somalia",2021,4342
"1334","somalia",2022,15653
"1335","somalia",2023,18304
"1336","south sudan",2014,6421
"1337","south sudan",2015,1818
"1338","south sudan",2016,4295
"1339","south sudan",2017,16088
"1340","south sudan",2018,0
"1341","south sudan",2019,0
"1342","south sudan",2020,0
"1343","south sudan",2021,0
"1344","south sudan",2011,0
"1345","south sudan",2012,0
"1346","south sudan",2013,0
"1347","south sudan",2022,424
"1348","south sudan",2023,1471
"1349","angola",1970,2
"1350","benin",1985,1
"1351","benin",2007,1
"1352","cameroon",1970,6
"1353","cote d'ivoire",1973,3
"1354","cote d'ivoire",1984,1
"1355","cote d'ivoire",1988,6
"1356","cote d'ivoire",1998,2
"1357","ethiopia",1985,1
"1358","ethiopia",1998,2
"1359","gabon",1997,1
"1360","guinea",1990,1
"1361","kenya",2012,3
"1362","kenya",2013,1
"1363","senegal",1973,1
"1364","senegal",1974,2
"1365","senegal",1994,1
"1366","south africa",2018,2
"1367","south sudan",2007,2
"1368","south sudan",2008,1
"1369","sudan",1996,2
"1370","sudan",1998,2
"1371","zambia",2016,8
