taxa,accession,country,year,te
AfricaZAFERS15993598T1520230101,ERS15993598,south africa,2023,T15
AfricaZAFERS15993599T1520230101,ERS15993599,south africa,2023,T15
AfricaZAFERS15993600T1520230101,ERS15993600,south africa,2023,T15
AfricaZAFERS16049961T1520230101,ERS16049961,south africa,2023,T15
AfricaZAFERS16049962T1520230101,ERS16049962,south africa,2023,T15
AfricaZAFERS16232379T1520230101,ERS16232379,south africa,2023,T15
AfricaZAFERS16284795T1520230101,ERS16284795,south africa,2023,T15
AfricaZAFERS16284796T1520230101,ERS16284796,south africa,2023,T15
AfricaZAFERS16452885T1520230101,ERS16452885,south africa,2023,T15
AfricaZAFERS16508136T1520230101,ERS16508136,south africa,2023,T15
AfricaSSDERR1878553T1020070101,ERR1878553,south sudan,2007,T10
AfricaSSDERR1878554T1020070101,ERR1878554,south sudan,2007,T10
AfricaSSDERR1878569T1020080101,ERR1878569,south sudan,2008,T10
AfricaSSDERR2265591T1020140101,ERR2265591,south sudan,2014,T10
AfricaSSDERR2265645T1020140101,ERR2265645,south sudan,2014,T10
AfricaSSDERR2265646T1020140101,ERR2265646,south sudan,2014,T10
AfricaSSDERR2265647T1020140101,ERR2265647,south sudan,2014,T10
AfricaSSDERR2265648T1020140101,ERR2265648,south sudan,2014,T10
AfricaSSDERR2265653T1020150101,ERR2265653,south sudan,2015,T10
AfricaSSDERR2265654T1020150101,ERR2265654,south sudan,2015,T10
AfricaSSDERR2265667T1020160101,ERR2265667,south sudan,2016,T10
AfricaSSDERR2265668T1020160101,ERR2265668,south sudan,2016,T10
AfricaSSDERR2265669T1020170101,ERR2265669,south sudan,2017,T10
AfricaSSDERR2265670T1020170101,ERR2265670,south sudan,2017,T10
AfricaSSDERR2265671T1020170101,ERR2265671,south sudan,2017,T10
AfricaSSDERR2265672T1020170101,ERR2265672,south sudan,2017,T10
AfricaSSDERR2265673T1020170101,ERR2265673,south sudan,2017,T10
AfricaSDNERR1879595T619960101,ERR1879595,sudan,1996,T6
AfricaSDNERR1879600T619960101,ERR1879600,sudan,1996,T6
AfricaSDNERR976571T1019980101,ERR976571,sudan,1998,T10
AfricaSDNERR976575T1019980101,ERR976575,sudan,1998,T10
AfricaTZAERR976531T519930101,ERR976531,tanzania,1993,T5
AfricaTZAERR1879655T519970101,ERR1879655,tanzania,1997,T5
AfricaTZAERR1879386T1019980101,ERR1879386,tanzania,1998,T10
AfricaTZAERR1880766T1019980101,ERR1880766,tanzania,1998,T10
AfricaTZAERR1880767T1019980101,ERR1880767,tanzania,1998,T10
AfricaTZAERR976563T1019980101,ERR976563,tanzania,1998,T10
AfricaTZAERR976564T1019980101,ERR976564,tanzania,1998,T10
AfricaTZAERR025370T1020090101,ERR025370,tanzania,2009,T10
AfricaTZAERS2318704T1020110101,ERS2318704,tanzania,2011,T10
AfricaTZAERR2442223T1020120101,ERR2442223,tanzania,2012,T10
AfricaTZAERR2442235T1020120101,ERR2442235,tanzania,2012,T10
AfricaTZAERR2442251T1020120101,ERR2442251,tanzania,2012,T10
AfricaTZAERS2318703T1020120101,ERS2318703,tanzania,2012,T10
AfricaTZAERS2318705T1020120101,ERS2318705,tanzania,2012,T10
AfricaTZAERR2442216T1020150101,ERR2442216,tanzania,2015,T10
AfricaTZAERR2442230T1020150101,ERR2442230,tanzania,2015,T10
AfricaTZAERR2442248T1020150101,ERR2442248,tanzania,2015,T10
AfricaTZAERR2442250T1020150101,ERR2442250,tanzania,2015,T10
AfricaTZAERR2442253T1020150101,ERR2442253,tanzania,2015,T10
AfricaTZAERS2318689T1020150101,ERS2318689,tanzania,2015,T10
AfricaTZAERS2318708T1020150101,ERS2318708,tanzania,2015,T10
AfricaTZAERS2318712T1020150101,ERS2318712,tanzania,2015,T10
AfricaTZAERS2318718T1020150101,ERS2318718,tanzania,2015,T10
AfricaTZATZA2015002T1020150101,TZA2015002,tanzania,2015,T10
AfricaTZAERR2442215T1320150101,ERR2442215,tanzania,2015,T13
AfricaTZAERR2442218T1320150101,ERR2442218,tanzania,2015,T13
AfricaTZAERR2442220T1320150101,ERR2442220,tanzania,2015,T13
AfricaTZAERR2442222T1320150101,ERR2442222,tanzania,2015,T13
AfricaTZAERR2442227T1320150101,ERR2442227,tanzania,2015,T13
AfricaTZAERR2442228T1320150101,ERR2442228,tanzania,2015,T13
AfricaTZAERR2442237T1320150101,ERR2442237,tanzania,2015,T13
AfricaTZAERR2442239T1320150101,ERR2442239,tanzania,2015,T13
AfricaTZAERR2442240T1320150101,ERR2442240,tanzania,2015,T13
AfricaTZAERR2442241T1320150101,ERR2442241,tanzania,2015,T13
AfricaTZAERR2442242T1320150101,ERR2442242,tanzania,2015,T13
AfricaTZAERR2442243T1320150101,ERR2442243,tanzania,2015,T13
AfricaTZAERR2442244T1320150101,ERR2442244,tanzania,2015,T13
AfricaTZAERS2318680T1320150101,ERS2318680,tanzania,2015,T13
AfricaTZAERS2318681T1320150101,ERS2318681,tanzania,2015,T13
AfricaTZAERS2318682T1320150101,ERS2318682,tanzania,2015,T13
AfricaTZAERS2318685T1320150101,ERS2318685,tanzania,2015,T13
AfricaTZAERS2318693T1320150101,ERS2318693,tanzania,2015,T13
AfricaTZAERS2318697T1320150101,ERS2318697,tanzania,2015,T13
AfricaTZAERS2318700T1320150101,ERS2318700,tanzania,2015,T13
AfricaTZAERS3013709T1320150101,ERS3013709,tanzania,2015,T13
AfricaTZAERS3013710T1320150101,ERS3013710,tanzania,2015,T13
AfricaTZAERS3013721T1320150101,ERS3013721,tanzania,2015,T13
AfricaTZAERS3013722T1320150101,ERS3013722,tanzania,2015,T13
AfricaTZATZA2015001T1320150101,TZA2015001,tanzania,2015,T13
TZA2015005,SAMN40623245,tanzania,2015,T16
AfricaTZATZA2015005sporadic20150101,TZA2015005,tanzania,2015,sporadic
AfricaTZAERS3013713T1320160101,ERS3013713,tanzania,2016,T13
AfricaTZAERS3013714T1320160101,ERS3013714,tanzania,2016,T13
AfricaTZAERS3013715T1320160101,ERS3013715,tanzania,2016,T13
AfricaTZAERS3013716T1320160101,ERS3013716,tanzania,2016,T13
AfricaTZAERS3013723T1320160101,ERS3013723,tanzania,2016,T13
AfricaTZAERS3013724T1320160101,ERS3013724,tanzania,2016,T13
AfricaTZAERS3013725T1320160101,ERS3013725,tanzania,2016,T13
AfricaTZASAMN19110434T1320160101,SAMN19110434,tanzania,2016,T13
AfricaTZASAMN19110437T1320160101,SAMN19110437,tanzania,2016,T13
AfricaTZASAMN19110438T1320160101,SAMN19110438,tanzania,2016,T13
AfricaTZASAMN19110439T1320160101,SAMN19110439,tanzania,2016,T13
AfricaTZASAMN19110440T1320160101,SAMN19110440,tanzania,2016,T13
AfricaTZASAMN19110444T1320160101,SAMN19110444,tanzania,2016,T13
AfricaTZATZA2016010T1320160101,TZA2016010,tanzania,2016,T13
AfricaTZAERS3013700T1020170101,ERS3013700,tanzania,2017,T10
AfricaTZAERS3013702T1020170101,ERS3013702,tanzania,2017,T10
AfricaTZAERS3013718T1020170101,ERS3013718,tanzania,2017,T10
AfricaTZAERS3035914T1020170101,ERS3035914,tanzania,2017,T10
AfricaTZASAMN19110432T1020170101,SAMN19110432,tanzania,2017,T10
AfricaTZASAMN19110433T1020170101,SAMN19110433,tanzania,2017,T10
AfricaTZASAMN19110435T1020170101,SAMN19110435,tanzania,2017,T10
AfricaTZATZA2017003T1020170101,TZA2017003,tanzania,2017,T10
AfricaTZATZA2017014T1020170101,TZA2017014,tanzania,2017,T10
AfricaTZATZA2017032T1020170101,TZA2017032,tanzania,2017,T10
AfricaTZAERS3013701T1320170101,ERS3013701,tanzania,2017,T13
AfricaTZAERS3013703T1320170101,ERS3013703,tanzania,2017,T13
AfricaTZAERS3013705T1320170101,ERS3013705,tanzania,2017,T13
AfricaTZAERS3013706T1320170101,ERS3013706,tanzania,2017,T13
AfricaTZAERS3013707T1320170101,ERS3013707,tanzania,2017,T13
AfricaTZAERS3013708T1320170101,ERS3013708,tanzania,2017,T13
AfricaTZAERS3013711T1320170101,ERS3013711,tanzania,2017,T13
AfricaTZAERS3013712T1320170101,ERS3013712,tanzania,2017,T13
AfricaTZAERS3013717T1320170101,ERS3013717,tanzania,2017,T13
AfricaTZAERS3013720T1320170101,ERS3013720,tanzania,2017,T13
AfricaTZAERS3013726T1320170101,ERS3013726,tanzania,2017,T13
AfricaTZAERS3013727T1320170101,ERS3013727,tanzania,2017,T13
AfricaTZAERS3013728T1320170101,ERS3013728,tanzania,2017,T13
AfricaTZAERS3035913T1320170101,ERS3035913,tanzania,2017,T13
AfricaTZAERS3035915T1320170101,ERS3035915,tanzania,2017,T13
AfricaTZASAMN19110427T1320170101,SAMN19110427,tanzania,2017,T13
AfricaTZASAMN19110428T1320170101,SAMN19110428,tanzania,2017,T13
AfricaTZASAMN19110429T1320170101,SAMN19110429,tanzania,2017,T13
AfricaTZASAMN19110430T1320170101,SAMN19110430,tanzania,2017,T13
AfricaTZASAMN19110431T1320170101,SAMN19110431,tanzania,2017,T13
AfricaTZASAMN19110436T1320170101,SAMN19110436,tanzania,2017,T13
AfricaTZASAMN19110441T1320170101,SAMN19110441,tanzania,2017,T13
AfricaTZASAMN19110442T1320170101,SAMN19110442,tanzania,2017,T13
AfricaTZASAMN19110443T1320170101,SAMN19110443,tanzania,2017,T13
AfricaTZATZA2017009T1320170101,TZA2017009,tanzania,2017,T13
AfricaTZAERS3013719sporadic20170101,ERS3013719,tanzania,2017,sporadic
AfricaTZATZA2018068T1020180101,TZA2018068,tanzania,2018,T10
AfricaTZATZA2018069T1020180101,TZA2018069,tanzania,2018,T10
AfricaTZATZA2018024T1320180101,TZA2018024,tanzania,2018,T13
AfricaTZATZA2018026T1320180101,TZA2018026,tanzania,2018,T13
AfricaTZATZA2018027T1320180101,TZA2018027,tanzania,2018,T13
AfricaTZATZA2018038T1320180101,TZA2018038,tanzania,2018,T13
AfricaTZATZA2018041T1320180101,TZA2018041,tanzania,2018,T13
AfricaTZATZA2018066T1320180101,TZA2018066,tanzania,2018,T13
AfricaTZATZA2018179T1320180101,TZA2018179,tanzania,2018,T13
AfricaTZATZA2018181T1320180101,TZA2018181,tanzania,2018,T13
TZA2018052,SAMN40623230,tanzania,2018,T16
TZA2018072,SAMN40623231,tanzania,2018,T17
TZA2018177,SAMN40623239,tanzania,2018,T17
TZA2018178,SAMN40623240,tanzania,2018,T17
AfricaTZATZA2018052sporadic20180101,TZA2018052,tanzania,2018,sporadic
AfricaTZATZA2018072sporadic20180101,TZA2018072,tanzania,2018,sporadic
AfricaTZATZA2018177sporadic20180101,TZA2018177,tanzania,2018,sporadic
AfricaTZATZA2018178sporadic20180101,TZA2018178,tanzania,2018,sporadic
AfricaTGOERR1877944T920010101,ERR1877944,togo,2001,T9
AfricaTGOERR572580T1220100101,ERR572580,togo,2010,T12
AfricaTGOERR572839T1220100101,ERR572839,togo,2010,T12
AfricaTGOERR572571T920100101,ERR572571,togo,2010,T9
AfricaTGOERR572572T920100101,ERR572572,togo,2010,T9
AfricaTGOERR572574T920100101,ERR572574,togo,2010,T9
AfricaTGOERR572585T1220110101,ERR572585,togo,2011,T12
AfricaTGOERR572589T1220110101,ERR572589,togo,2011,T12
AfricaTGOERR572582T920110101,ERR572582,togo,2011,T9
AfricaTGOERR572840T920110101,ERR572840,togo,2011,T9
AfricaTGOERR572590T1220120101,ERR572590,togo,2012,T12
AfricaTGOERR572592T1220120101,ERR572592,togo,2012,T12
AfricaTGOERR572842T1220120101,ERR572842,togo,2012,T12
AfricaUGAERR1877619T219920101,ERR1877619,uganda,1992,T2
AfricaUGAERR1877636T219920101,ERR1877636,uganda,1992,T2
AfricaUGAERR976552T1019980101,ERR976552,uganda,1998,T10
AfricaUGAERR976553T1019980101,ERR976553,uganda,1998,T10
AfricaUGAERR976584T1019990101,ERR976584,uganda,1999,T10
AfricaUGAERR1877638T1020000101,ERR1877638,uganda,2000,T10
AfricaUGAERR1877639T1020000101,ERR1877639,uganda,2000,T10
AfricaUGASAMN08744327T1020140101,SAMN08744327,uganda,2014,T10
AfricaUGASAMN08744328T1020140101,SAMN08744328,uganda,2014,T10
AfricaUGASAMN08744326T1020150101,SAMN08744326,uganda,2015,T10
AfricaUGASAMN08744329T1020150101,SAMN08744329,uganda,2015,T10
AfricaUGASAMN08744333T1020150101,SAMN08744333,uganda,2015,T10
AfricaUGASAMN08744334T1020150101,SAMN08744334,uganda,2015,T10
AfricaUGASAMN08744335T1020150101,SAMN08744335,uganda,2015,T10
AfricaUGASAMN08744332T1320150101,SAMN08744332,uganda,2015,T13
AfricaUGASAMN08744330T1320160101,SAMN08744330,uganda,2016,T13
AfricaUGASAMN08744331T1320160101,SAMN08744331,uganda,2016,T13
AfricaUGAUGA2018009T1020180101,UGA2018009,uganda,2018,T10
AfricaUGAUGA2018010T1020180101,UGA2018010,uganda,2018,T10
AfricaUGAUGA2018026T1320180101,UGA2018026,uganda,2018,T13
UGA2018006,SAMN40623252,uganda,2018,T17
AfricaUGAUGA2018006sporadic20180101,UGA2018006,uganda,2018,sporadic
AfricaZMBERR044794T519960101,ERR044794,zambia,1996,T5
AfricaZMBERR164757T519960101,ERR164757,zambia,1996,T5
AfricaZMBERR164758T519960101,ERR164758,zambia,1996,T5
AfricaZMBERR164759T519970101,ERR164759,zambia,1997,T5
AfricaZMBERR164760T519970101,ERR164760,zambia,1997,T5
AfricaZMBERR164763T519970101,ERR164763,zambia,1997,T5
AfricaZMBERR1880764T519980101,ERR1880764,zambia,1998,T5
AfricaZMBERR1880765T519980101,ERR1880765,zambia,1998,T5
AfricaZMBERR044795T1020030101,ERR044795,zambia,2003,T10
AfricaZMBERR164765T1020030101,ERR164765,zambia,2003,T10
AfricaZMBERR164766T1020030101,ERR164766,zambia,2003,T10
AfricaZMBERR164768T1020040101,ERR164768,zambia,2004,T10
AfricaZMBERR164773T1020040101,ERR164773,zambia,2004,T10
AfricaZMBERR164776T1020040101,ERR164776,zambia,2004,T10
AfricaZMBSRR227307T1020040101,SRR227307,zambia,2004,T10
AfricaZMBSRR227309T1020040101,SRR227309,zambia,2004,T10
AfricaZMBSAMN17861260T1020090101,SAMN17861260,zambia,2009,T10
AfricaZMBSAMN17861261T1020090101,SAMN17861261,zambia,2009,T10
AfricaZMBERR1878581T1020100101,ERR1878581,zambia,2010,T10
AfricaZMBERR1878582T1020100101,ERR1878582,zambia,2010,T10
AfricaZMBSAMN17861262T1020100101,SAMN17861262,zambia,2010,T10
AfricaZMBSAMN17861263T1020100101,SAMN17861263,zambia,2010,T10
AfricaZMBERR386656T1020120101,ERR386656,zambia,2012,T10
AfricaZMBERR386661T1020120101,ERR386661,zambia,2012,T10
AfricaZMBERR386663T1020120101,ERR386663,zambia,2012,T10
AfricaZMBZMB2016034T1020160101,ZMB2016034,zambia,2016,T10
AfricaZMBSAMN17861255T1320160101,SAMN17861255,zambia,2016,T13
AfricaZMBSAMN17861256T1320160101,SAMN17861256,zambia,2016,T13
AfricaZMBSAMN17861257T1320160101,SAMN17861257,zambia,2016,T13
AfricaZMBSAMN17861258T1320160101,SAMN17861258,zambia,2016,T13
AfricaZMBSAMN17861259T1320160101,SAMN17861259,zambia,2016,T13
AfricaZMBSAMN17861264T1320160101,SAMN17861264,zambia,2016,T13
AfricaZMBSAMN17861266T1320160101,SAMN17861266,zambia,2016,T13
AfricaZMBSAMN17861265T1320170101,SAMN17861265,zambia,2017,T13
ZMB2017003,SAMN17861249,zambia,2017,T13
ZMB2017005,SAMN17861250,zambia,2017,T13
ZMB2017006,SAMN17861251,zambia,2017,T13
ZMB2018006,SAMN17861252,zambia,2018,T13
ZMB2018004,SAMN17861253,zambia,2018,T13
ZMB2018001,SAMN17861254,zambia,2018,T13
AfricaZWEERR044798T1120090101,ERR044798,zimbabwe,2009,T11
AfricaZWESRR227311T1120090101,SRR227311,zimbabwe,2009,T11
AfricaZWEERR044799T820090101,ERR044799,zimbabwe,2009,T8
AfricaZWEERR044800T820090101,ERR044800,zimbabwe,2009,T8
AfricaZWEERR3342504T1120150101,ERR3342504,zimbabwe,2015,T11
AfricaZWEERR3342505T1120150101,ERR3342505,zimbabwe,2015,T11
AfricaZWEERS14903187T1120150101,ERS14903187,zimbabwe,2015,T11
AfricaZWEERS14903188T1120150101,ERS14903188,zimbabwe,2015,T11
AfricaZWE638a044cf00f707c251c7659T1320180101,638a044cf00f707c251c7659,zimbabwe,2018,T13
AfricaZWEERR3342507T1320180101,ERR3342507,zimbabwe,2018,T13
AfricaZWEERR3342508T1320180101,ERR3342508,zimbabwe,2018,T13
AfricaZWEERR3342509T1320180101,ERR3342509,zimbabwe,2018,T13
AfricaZWEERR3342511T1320180101,ERR3342511,zimbabwe,2018,T13
AfricaZWEERR3342512T1320180101,ERR3342512,zimbabwe,2018,T13
AfricaZWEERR3342516T1320180101,ERR3342516,zimbabwe,2018,T13
AfricaZWEERS14903189T1320180101,ERS14903189,zimbabwe,2018,T13
AfricaZWEERS14903190T1320180101,ERS14903190,zimbabwe,2018,T13
AfricaZWEERS4937855T1320180101,ERS4937855,zimbabwe,2018,T13
AfricaZWEERS4937856T1320180101,ERS4937856,zimbabwe,2018,T13
AfricaZWEERS14953941T1520230101,ERS14953941,zimbabwe,2023,T15
AfricaZWEERS14953946T1520230101,ERS14953946,zimbabwe,2023,T15
AfricaZWEERS17735873T1520230101,ERS17735873,zimbabwe,2023,T15
AfricaZWEERS17735874T1520230101,ERS17735874,zimbabwe,2023,T15
AfricaZWEERS17735875T1520230101,ERS17735875,zimbabwe,2023,T15
AfricaZWEERS17735876T1520230101,ERS17735876,zimbabwe,2023,T15
AfricaZWEERS17735877T1520230101,ERS17735877,zimbabwe,2023,T15
AfricaZWEERS17735878T1520230101,ERS17735878,zimbabwe,2023,T15
AfricaZWEERS17735879T1520230101,ERS17735879,zimbabwe,2023,T15
