lineage,count,mean,std,min,2.5%,50%,97.5%,max
T9,90000.0,1989.4269280254593,1.286106070795184,1978.804423398837,1986.4457146717323,1989.5972567470035,1991.3938245638626,1992.238802671845
T10,90000.0,1995.0040239895704,0.8351835900416473,1989.6566246533464,1992.718383659123,1995.1555926530484,1996.164780833793,1996.585212718872
T11,90000.0,2000.972215148093,0.4362811421011759,1998.5221931042183,1999.883572262017,2001.0226028536424,2001.6503118893393,2001.881414676988
T12,90000.0,2008.3066571427248,0.2964391886444341,2006.8317388499756,2007.6621960189316,2008.3288333324326,2008.8002065220644,2008.9749070575815
T13,90000.0,2006.3840539702792,0.16875114521556184,2005.430956858798,2005.999190570856,2006.4027329189603,2006.6503453269759,2006.7722937433375
T15,90000.0,2017.8622281377063,0.5176080217967575,2015.6388225990352,2016.7176134712995,2017.9039119605725,2018.7690103404564,2019.2711466521
